17 to 217,1
280 to 290,1
44 to 60,1
453 to 588,1
188 to 197,1
476 to 726,1
129 to 405,1
620 to 688,1
71 to 256,1
17 to 968,1
312 to 622,1
391 to 998,1
259 to 282,1
420 to 759,1
212 to 663,1
59 to 562,1
234 to 481,1
420 to 754,1
441 to 598,1
394 to 694,1
464 to 486,4
27 to 76,1
48 to 373,1
4 to 178,1
765 to 875,1
117 to 199,2
171 to 709,1
619 to 729,1
82 to 741,1
289 to 790,1
39 to 77,1
165 to 649,1
188 to 264,1
347 to 548,1
317 to 855,1
40 to 462,1
449 to 587,1
143 to 830,1
507 to 769,2
626 to 789,1
475 to 569,1
80 to 154,1
43 to 283,1
225 to 784,1
449 to 748,2
374 to 556,1
508 to 829,1
401 to 650,4
72 to 913,1
412 to 663,1
173 to 613,1
372 to 534,2
173 to 617,1
250 to 508,1
14 to 38,1
38 to 92,1
620 to 662,1
3 to 207,1
543 to 973,1
112 to 877,1
428 to 913,1
3 to 74,1
3 to 77,2
201 to 521,1
78 to 234,1
116 to 727,1
40 to 156,1
32 to 51,1
27 to 198,1
55 to 246,1
312 to 957,1
137 to 178,1
244 to 513,1
505 to 614,1
2 to 94,1
307 to 508,1
143 to 302,1
381 to 827,1
264 to 680,1
681 to 683,3
119 to 458,1
350 to 477,1
233 to 433,1
61 to 151,1
660 to 916,1
23 to 76,1
593 to 761,1
322 to 825,1
249 to 274,1
34 to 755,1
448 to 736,1
110 to 298,1
332 to 491,1
39 to 381,1
323 to 368,1
543 to 779,1
493 to 682,1
330 to 801,1
493 to 680,1
356 to 681,1
356 to 683,1
302 to 795,1
19 to 208,1
376 to 552,2
145 to 197,1
498 to 994,1
500 to 746,1
353 to 622,1
294 to 526,1
500 to 748,1
760 to 963,1
849 to 947,2
147 to 409,1
636 to 677,1
451 to 459,1
17 to 449,1
308 to 583,1
680 to 761,1
321 to 713,1
613 to 959,1
674 to 945,2
220 to 409,1
694 to 858,1
475 to 824,1
521 to 627,1
10 to 21,1
402 to 576,1
10 to 26,1
277 to 779,1
183 to 552,1
138 to 777,1
494 to 559,1
578 to 593,1
578 to 596,1
12 to 204,2
95 to 471,1
13 to 463,1
132 to 529,1
315 to 859,1
76 to 350,1
422 to 481,1
57 to 178,1
723 to 748,1
76 to 198,1
282 to 946,1
120 to 237,1
201 to 287,1
349 to 448,1
82 to 126,1
723 to 746,1
298 to 355,1
69 to 628,1
219 to 618,1
161 to 178,1
255 to 291,1
138 to 398,1
264 to 632,1
389 to 995,1
168 to 811,1
34 to 94,1
553 to 677,1
430 to 534,1
592 to 619,1
208 to 581,1
150 to 183,1
9 to 895,1
408 to 768,1
68 to 154,1
158 to 677,1
4 to 213,1
325 to 990,1
234 to 327,1
10 to 405,1
325 to 339,1
290 to 818,1
210 to 626,2
128 to 593,1
364 to 453,1
2 to 213,1
261 to 295,1
107 to 666,1
127 to 695,1
14 to 213,1
335 to 833,1
77 to 233,1
58 to 250,1
619 to 732,1
461 to 666,1
557 to 852,1
381 to 569,1
224 to 429,1
176 to 850,1
162 to 590,1
265 to 557,1
336 to 971,1
17 to 159,1
