#entity1_id,entity2_id
1007,1
1008,1
1009,1
1010,1
1011,1
1109,1
1014,1
1018,1
1019,1
1020,1
1021,1
1024,1
1025,1
1026,1
1026,1
1028,1
1029,1
1029,1
1033,2
1034,2
1035,2
145046,2
49416,2
1040,2
1042,2
1043,2
1045,2
1045,2
1045,2
1046,2
1046,2
1047,3
1048,3
1049,3
1050,3
1051,3
1052,3
1053,3
1054,3
1055,3
1057,3
1058,3
1059,3
1060,3
1061,3
1066,4
1067,4
1067,4
1067,4
1072,4
1073,4
1074,4
1076,4
1077,4
1079,4
1080,4
1081,4
1082,4
1083,5
1084,5
1085,5
1086,5
1086,5
1086,5
1087,5
1088,5
1089,5
1090,5
1095,5
1096,5
1097,5
1098,5
1099,5
1100,5
1102,5
1103,5
1104,5
1107,6
1108,6
1109,6
1110,6
1111,6
1112,6
1054,6
1113,6
1114,6
1115,6
1116,6
1118,6
1119,6
1086,6
1124,6
1124,6
1124,6
1126,7
1127,7
1128,7
1129,7
1130,7
1131,7
1132,7
1133,7
1134,7
1135,7
1136,7
1138,7
1138,7
1138,7
1139,7
1139,7
1139,7
1138,7
1146,8
1147,8
1148,8
1149,8
1150,8
1152,8
1154,8
1158,8
1161,8
1163,8
1168,8
1170,8
1171,8
1172,8
1174,8
1180,9
1181,9
1185,9
1186,9
1188,9
1193,9
1197,9
1199,9
1201,12
1201,12
1201,12
1202,12
1205,12
1206,12
1207,12
1208,12
1210,12
1046,12
1211,12
43295,12
1219,12
1130,12
1220,12
1221,12
1222,12
1222,12
1223,13
1228,13
1231,13
1232,13
1233,13
1234,13
1234,13
1234,13
1235,13
1219,13
1236,13
1238,13
1239,13
1240,13
1245,14
1246,14
1247,14
1248,14
1249,14
1250,14
1161,14
1251,14
1252,14
1253,14
1259,14
1263,15
1264,15
1265,15
145019,15
1267,15
1268,15
1269,15
38653,15
1271,15
1272,15
49416,15
49416,15
49416,15
49416,15
1275,15
1276,15
1278,16
1278,16
1278,16
1282,16
1283,16
13790,16
1285,16
1286,16
1287,16
1288,16
1289,16
1295,17
1295,17
1297,17
1298,17
1115,17
1299,17
1300,17
1301,17
1302,17
1303,17
1304,17
1305,17
1306,17
1253,18
1253,18
1253,18
1253,18
1311,18
1312,18
1313,18
1314,18
1315,18
1316,18
1317,18
1318,18
1319,18
1322,18
1324,19
1325,19
1327,19
1328,19
1329,19
1330,19
1331,19
1332,19
1333,19
1335,19
1336,19
1338,19
1339,19
1342,19
1343,20
1343,20
1343,20
1345,20
1345,20
1345,20
1346,20
1346,20
1346,20
1043,20
1352,20
1353,20
1355,20
1357,20
1359,20
1075,21
1360,21
1298,21
1361,21
1362,21
1364,21
1365,21
1366,21
1367,21
1374,21
21,21
1382,22
1383,22
1384,22
1076,22
1385,22
1386,22
1074,22
1387,22
1388,22
1391,22
1392,22
1206,22
1393,22
1108,22
15170,22
1395,22
1396,22
1398,22
1400,22
1400,22
1119,23
1119,23
1119,23
145019,23
1411,23
1412,23
1413,23
1414,23
1415,23
1416,23
1417,23
1418,23
1419,23
1419,23
1420,23
1096,23
1421,23
1424,18116
1425,18116
1426,18116
1427,18116
1428,18116
1429,18116
1430,18116
1431,18116
1432,18116
1433,18116
1434,18116
1177,18116
1177,18116
1177,18116
1438,18116
1438,18116
1440,18116
1441,18116
1442,18116
1443,25
1443,25
1443,25
1444,25
1445,25
1446,25
1447,25
1448,25
1449,25
1450,25
1451,25
1456,25
1161,25
1352,25
1458,25
1460,26
1460,26
1460,26
1461,26
1468,26
1472,26
1472,26
1473,26
1473,26
1473,26
1479,26
1480,26
1393,26
1481,26
1482,26
1483,26
1484,26
1095,26
1485,26
1486,26
1487,26
1488,26
1221,27
1061,27
1104,27
1493,27
1494,27
1495,27
1496,27
1497,27
1498,27
1418,27
1418,27
1418,27
1418,27
1500,27
1505,27
1506,28
1507,28
1508,28
1509,28
1510,28
1510,28
1510,28
1512,28
1513,28
1514,28
1518,28
1518,28
1518,28
1519,28
1520,29
1520,29
1520,29
1521,29
1521,29
1522,29
14364,29
1524,29
1525,29
1527,29
1528,29
1529,29
1530,29
1533,29
1533,29
1533,29
1535,29
1535,29
1074,30
1536,30
1537,30
1538,30
1539,30
1542,30
1546,30
1547,30
1548,30
1549,30
1552,30
1553,30
1554,31
1150,31
1352,31
1556,31
1557,31
1558,31
1559,31
1560,31
1561,31
1562,31
1330,31
1565,31
1565,31
1568,31
1569,33
1569,33
1575,33
1577,33
1578,33
1579,33
1580,33
1581,33
1582,33
1583,33
1178,33
1584,33
1586,33
1587,33
1588,33
1589,33
1599,34
